City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,charters towers,0,AU,1536526067,85,-20.07,146.27,58.51,7.18
1,kimbe,12,PG,1536526067,100,-5.56,150.15,77.14,6.96
2,sao filipe,92,CV,1536526067,100,14.9,-24.5,76.69,33.35
3,new norfolk,75,AU,1536525000,57,-42.78,147.06,51.8,11.41
4,kalabo,0,ZM,1536526068,26,-15.0,22.67,67.06,10.42
5,atuona,68,PF,1536525769,100,-9.8,-139.03,78.04,16.02
6,chokurdakh,56,RU,1536526068,94,70.62,147.9,43.03,11.32
7,albany,90,US,1536522840,57,42.65,-73.75,62.06,5.82
8,saint-philippe,1,CA,1536524100,44,45.36,-73.48,63.32,8.05
9,ayagoz,0,KZ,1536526069,88,47.96,80.43,39.61,3.71
10,thompson,90,CA,1536523200,93,55.74,-97.86,57.2,6.93
11,tasiilaq,92,GL,1536522600,87,65.61,-37.64,42.8,11.41
12,ilulissat,92,GL,1536522600,80,69.22,-51.1,39.2,3.36
13,sovetskaya gavan,0,RU,1536526069,100,48.97,140.29,46.0,10.98
14,hilo,1,US,1536522960,72,19.71,-155.08,82.94,10.29
15,east london,92,ZA,1536526070,100,-33.02,27.91,58.87,18.03
16,bluff,0,AU,1536526070,42,-23.58,149.07,52.03,8.52
17,sorong,68,ID,1536526070,100,-0.86,131.25,78.58,12.66
18,moche,20,PE,1536523200,72,-8.17,-79.01,68.0,11.41
19,mitsamiouli,20,KM,1536523200,73,-11.38,43.28,77.0,11.41
20,ushuaia,40,AR,1536523200,65,-54.81,-68.31,46.4,12.75
21,ancud,0,CL,1536526071,62,-41.87,-73.83,56.62,2.59
22,halifax,75,CA,1536523200,45,44.65,-63.58,62.6,12.75
23,napierville,1,CA,1536524100,43,45.19,-73.4,63.32,5.82
24,shihezi,0,CN,1536525928,65,44.3,86.03,49.42,1.7
25,mataura,92,NZ,1536526071,96,-46.19,168.86,43.21,4.16
26,acapulco,75,MX,1536522240,70,16.86,-99.88,87.8,5.82
27,souillac,0,FR,1536525000,83,45.6,-0.6,69.8,3.36
28,botwood,40,CA,1536523200,76,49.14,-55.34,51.8,6.93
29,dikson,68,RU,1536526072,100,73.51,80.55,35.2,9.98
30,nara,75,JP,1536524340,100,34.68,135.8,73.4,8.05
31,tuktoyaktuk,90,CA,1536523200,86,69.44,-133.03,41.0,19.46
32,buin,88,CL,1536523200,17,-33.73,-70.74,75.2,8.05
33,deputatskiy,80,RU,1536526073,97,69.3,139.9,45.55,3.15
34,port alfred,76,ZA,1536526073,100,-33.59,26.89,56.26,9.64
35,khatanga,80,RU,1536526074,84,71.98,102.47,34.66,3.15
36,bredasdorp,12,ZA,1536523200,87,-34.53,20.04,42.8,3.36
37,conceicao do araguaia,92,BR,1536526074,31,-8.26,-49.26,91.54,3.94
38,kodiak,1,US,1536522780,55,39.95,-94.76,75.92,5.82
39,rongcheng,0,CN,1536526074,97,37.16,122.42,62.56,9.08
40,jamestown,0,AU,1536526075,74,-33.21,138.6,36.91,3.71
41,punta arenas,0,CL,1536523200,43,-53.16,-70.91,50.0,14.99
42,gryfice,0,PL,1536525000,71,53.91,15.2,57.2,2.24
43,colonia,75,RO,1536525000,67,46.6,23.97,62.6,2.24
44,boca do acre,44,BR,1536526076,34,-8.76,-67.39,95.05,2.15
45,nago,0,IT,1536524400,77,45.88,10.89,73.4,3.36
46,aparecida do taboado,0,BR,1536526076,38,-20.08,-51.1,84.79,1.36
47,hamilton,75,BM,1536522900,69,32.3,-64.78,82.4,9.17
48,hobart,75,AU,1536525000,57,-42.88,147.33,51.8,11.41
49,provideniya,0,RU,1536523200,66,64.42,-173.23,55.4,6.71
50,rikitea,56,PF,1536526077,100,-23.12,-134.97,72.28,13.22
51,kyrylivka,0,UA,1536526077,92,47.65,37.3,60.94,7.74
52,cockburn town,44,TC,1536526077,100,21.46,-71.14,82.99,12.21
53,vaini,76,IN,1536526077,98,15.34,74.49,67.15,1.36
54,pahrump,1,US,1536523080,2,36.21,-115.98,100.04,8.05
55,iracoubo,32,GF,1536526078,67,5.48,-53.21,83.71,5.39
56,pocone,0,BR,1536526078,29,-16.26,-56.62,95.68,5.06
57,fowa,100,NG,1536526078,99,8.92,6.4,71.29,5.39
58,andilamena,24,MG,1536526078,93,-17.01,48.57,55.36,6.96
59,castro,12,CL,1536526079,64,-42.48,-73.76,55.45,2.48
60,vega de alatorre,36,MX,1536526079,89,20.03,-96.65,81.1,1.59
61,dovers,40,VC,1536523200,62,12.88,-61.18,87.8,8.05
62,keetmanshoop,0,NA,1536526079,24,-26.57,18.15,44.29,9.19
63,carnarvon,0,ZA,1536526079,66,-30.97,22.13,25.66,3.6
64,longyearbyen,75,NO,1536522600,87,78.22,15.63,42.8,14.99
65,del rio,75,US,1536522960,74,29.36,-100.9,80.06,11.41
66,katsuura,75,JP,1536524820,94,33.93,134.5,71.6,3.36
67,kapaa,40,US,1536522960,84,22.08,-159.32,82.94,10.29
68,kosh-agach,80,RU,1536526080,97,49.99,88.66,30.7,3.27
69,mar del plata,0,AR,1536526080,35,-46.43,-67.52,59.68,8.41
70,kahului,75,US,1536525120,74,20.89,-156.47,84.92,4.7
71,fare,20,PF,1536526081,100,-16.7,-151.02,76.6,6.51
72,puerto ayora,20,EC,1536523200,57,-0.74,-90.35,80.6,19.46
73,bonthe,56,SL,1536526081,94,7.53,-12.5,76.42,3.94
74,sitka,0,US,1536526081,89,37.17,-99.65,75.34,6.17
75,busselton,64,AU,1536526081,98,-33.64,115.35,61.21,19.6
76,gwadar,76,PK,1536526082,100,25.12,62.33,77.14,3.38
77,talnakh,80,RU,1536526082,100,69.49,88.39,34.66,3.71
78,erdaojiang,0,CN,1536526082,78,41.78,126.03,37.72,2.15
79,oloron-sainte-marie,75,FR,1536525000,88,43.19,-0.61,68.0,6.93
80,flin flon,90,CA,1536523200,93,54.77,-101.88,60.8,4.7
81,barrow,92,AR,1536525833,34,-38.31,-60.23,57.88,10.42
82,newry,40,GB,1536524400,81,54.18,-6.34,55.4,12.75
83,orlovka,64,KG,1536526083,91,42.75,75.59,40.06,2.37
84,tilichiki,92,RU,1536526083,100,60.47,166.1,52.21,3.83
85,cape town,0,ZA,1536523200,81,-33.93,18.42,53.6,5.82
86,bambous virieux,20,MU,1536523200,68,-20.34,57.76,69.8,12.75
87,hithadhoo,100,MV,1536526084,100,-0.6,73.08,83.17,10.54
88,butaritari,88,KI,1536526076,100,3.07,172.79,79.66,9.19
89,port hardy,75,CA,1536523200,87,50.7,-127.42,59.0,6.93
90,torbay,75,CA,1536523200,71,47.66,-52.73,53.6,8.05
91,ahuimanu,1,US,1536523020,74,21.44,-157.84,84.92,5.82
92,horta,0,ES,1536525000,78,41.43,2.16,77.0,3.36
93,saint george,20,GR,1536522600,64,39.45,22.34,68.0,3.36
94,komsomolskiy,56,RU,1536526085,82,67.55,63.78,29.71,2.71
95,iqaluit,75,CA,1536523200,70,63.75,-68.52,44.6,19.46
96,sibolga,80,ID,1536526085,100,1.74,98.78,67.6,1.92
97,vila,0,IT,1536524400,82,45.18,8.4,69.8,3.36
98,saskylakh,76,RU,1536526086,86,71.97,114.09,31.87,3.83
99,kaitangata,76,NZ,1536526086,94,-46.28,169.85,42.4,5.84
100,mumford,12,GH,1536526086,95,5.26,-0.76,73.99,8.41
101,chuy,8,UY,1536526086,80,-33.69,-53.46,57.79,13.44
102,coos bay,1,US,1536524100,69,43.37,-124.22,64.04,11.41
103,ust-maya,88,RU,1536526087,89,60.42,134.54,33.76,5.84
104,nelson bay,0,AU,1536525000,76,-32.72,152.14,50.0,8.05
105,okoneshnikovo,32,RU,1536526087,85,54.84,75.08,54.28,13.44
106,rio de jesus,92,PA,1536526087,95,7.98,-81.16,77.86,2.82
107,mahebourg,20,MU,1536523200,68,-20.41,57.7,69.8,12.75
108,stromness,90,CA,1536523200,58,42.87,-79.55,59.0,28.86
109,port hedland,0,AU,1536525000,51,-20.31,118.58,60.8,5.82
